user\day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
user0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user1,990.0,990.0,1090.0,1075.0,1075.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0
user2,100000000.0,99999820.0,99999725.0,99999740.0,99999755.0,99999755.0,99999585.0,99999410.0,99999410.0,99999330.0,99999165.0,99999165.0,99999165.0,99998995.0,99998835.0
user3,1000.0,995.0,995.0,995.0,995.0,990.0,990.0,1080.0,1080.0,1180.0,1165.0,1165.0,1265.0,1245.0,1235.0
user4,1000.0,995.0,995.0,1090.0,1090.0,1185.0,1185.0,1285.0,1285.0,1285.0,1285.0,1275.0,1275.0,1370.0,1365.0
user5,1000.0,995.0,995.0,1095.0,1090.0,1090.0,1185.0,1170.0,1270.0,1365.0,1365.0,1465.0,1460.0,1460.0,1560.0
user6,1000.0,980.0,980.0,1065.0,1065.0,1165.0,1145.0,1145.0,1245.0,1240.0,1240.0,1340.0,1330.0,1330.0,1410.0
user7,1000.0,980.0,980.0,1080.0,1075.0,1075.0,1175.0,1175.0,1175.0,1175.0,1160.0,1160.0,1260.0,1250.0,1250.0
user8,1000.0,1000.0,995.0,995.0,995.0,995.0,985.0,985.0,1085.0,1085.0,1065.0,1065.0,1155.0,1155.0,1255.0
user9,99999830.0,99999830.0,99999740.0,99999655.0,99999560.0,99999560.0,99999465.0,99999465.0,99999465.0,99999465.0,99999380.0,99999205.0,99999020.0,99998930.0,99998930.0
user10,1000.0,1000.0,995.0,995.0,1095.0,1090.0,1090.0,1190.0,1190.0,1190.0,1190.0,1190.0,1185.0,1185.0,1285.0
user11,1000.0,985.0,985.0,1085.0,1085.0,1070.0,1070.0,1150.0,1150.0,1230.0,1225.0,1325.0,1425.0,1425.0,1405.0
user12,980.0,980.0,980.0,980.0,965.0,965.0,1065.0,1060.0,1060.0,1160.0,1155.0,1155.0,1255.0,1250.0,1250.0
user13,985.0,985.0,1080.0,1065.0,1165.0,1265.0,1245.0,1240.0,1340.0,1430.0,1430.0,1530.0,1525.0,1515.0,1615.0
user14,99999915.0,99999755.0,99999755.0,99999670.0,99999670.0,99999490.0,99999410.0,99999235.0,99999235.0,99999145.0,99998955.0,99998955.0,99998770.0,99998770.0,99998680.0
user15,995.0,995.0,1090.0,1090.0,1190.0,1190.0,1185.0,1185.0,1185.0,1185.0,1180.0,1165.0,1265.0,1365.0,1365.0
user16,99999905.0,99999715.0,99999620.0,99999525.0,99999430.0,99999240.0,99999145.0,99999050.0,99999150.0,99998960.0,99998865.0,99998865.0,99998770.0,99998580.0,99998485.0
